age,sex,expense
2,female,25.75
2,male,21.04
3,female,30
3,male,16.32972973
4,female,25.74210526
4,male,19.4
5,female,31.58695652
5,male,27.73818182
6,female,29.33898305
6,male,24.33333333
7,female,21.764
7,male,25.18545455
8,female,25.06607143
8,male,23.17358491
9,female,30.15352113
9,male,34.73846154
10,female,29.64912281
10,male,19.61692308
11,female,24.15090909
11,male,28.53125
12,female,21.1952381
12,male,25.52537313
13,female,32.36363636
13,male,24.67971014
14,female,20.13939394
14,male,25.36
15,female,22.66296296
15,male,23.546875
16,female,24.11216216
16,male,27.16521739
17,female,20.82987013
17,male,18.7
18,female,18.04155844
18,male,23.78658537
19,female,18.25
19,male,21.44269663
20,female,18.08470588
20,male,16.92222222
21,female,20.26582278
21,male,25.03292683
22,female,23.74594595
22,male,18.40816327
23,female,25.67956989
23,male,14.32068966
24,female,17.29850746
24,male,15.88571429
25,female,25.10921053
25,male,27.29365079
26,female,24.9
26,male,22.42368421
27,female,23.06666667
27,male,34.08030303
28,female,38.08888889
28,male,21.7877551
29,female,34.1472973
29,male,25.48428571
30,female,27.22033898
30,male,16.034
31,female,29.44193548
31,male,20.44558824
32,female,34.79661017
32,male,21.74615385
33,female,35.94473684
33,male,28.67560976
34,female,31.2125
34,male,26.89655172
35,female,26.76271186
35,male,21.73255814
36,female,30.32692308
36,male,19.10833333
37,female,28.20568182
37,male,24.86
38,female,24.67792208
38,male,21.81265823
39,female,23.34712644
39,male,24.69710145
40,female,25.9627907
40,male,23.23777778
41,female,23.94606742
41,male,26.7212766
42,female,25.14835165
42,male,23.48780488
43,female,24.55555556
43,male,24.05131579
44,female,28.51733333
44,male,21.74893617
45,female,26.68541667
45,male,24.396875
46,female,23.95416667
46,male,24.52672414
47,female,21.407
47,male,18.1317757
48,female,20.88977273
48,male,26.10961538
49,female,23.67983193
49,male,19.32385321
50,female,22.21134021
50,male,21.23762376
51,female,21.06966292
51,male,20.15714286
52,female,22.529
52,male,15.469
53,female,23.81445783
53,male,19.50421053
54,female,24.68170732
54,male,23.33846154
55,female,24.78222222
55,male,23.77142857
56,female,20.44947368
56,male,15.38717949
57,female,19.84819277
57,male,28.3212766
58,female,18.1847619
58,male,27.24941176
59,female,25.96122449
59,male,17.63617021
60,female,15.78130841
60,male,21.24285714
61,female,15.229
61,male,21.5
62,female,14.91730769
62,male,20.11
63,female,10.273
63,male,10.8617284
64,female,15.62105263
64,male,15.1525641
65,female,9.086597938
65,male,13.00813953
66,female,13.46548673
66,male,16.07464789
67,female,12.71294118
67,male,18.70428571
68,female,8.399038462
68,male,13.957
69,female,6.316304348
69,male,9.656666667
70,female,8.512903226
70,male,13.90483871
71,female,9.478125
71,male,7.675409836
72,female,7.769026549
72,male,9.882539683
73,female,6.717266187
73,male,8.761682243
74,female,5.21953125
74,male,11.58780488
75,female,5.381730769
75,male,7.19875
76,female,3.345038168
76,male,9.069444444
77,female,6.745138889
77,male,5.753932584
78,female,3.49138756
78,male,5.434259259
79,female,3.345985401
79,male,3.998913043
80,female,2.963924051
80,male,5.062244898
81,female,3.782424242
81,male,4.534408602
82,female,3.10729927
82,male,5.351764706
83,female,4.59
83,male,7.106666667
84,female,4.13495935
84,male,5.222368421
85,female,3.696116505
85,male,2.673134328
86,female,2.735955056
86,male,2.188095238
87,female,4.016901408
87,male,3.488235294
88,female,5.493670886
88,male,3.604761905
89,female,5.017307692
89,male,2.966666667
90,female,2.740540541
90,male,4.652631579
91,female,6.852941176
91,male,1.32
92,female,3.5
92,male,2.685714286
93,female,3.5625
93,male,3.942857143
94,female,12.01666667
94,male,8.2
95,female,21.25
95,male,1.44
96,female,4.5
96,male,1.45
97,female,10.44444444
98,female,2.38
98,male,1
99,female,3.666666667
99,male,8
100,female,1
101,female,2
101,male,1
103,male,2
113,female,5
