manufacturer,trans,drv,cty,hwy
audi,auto,f,18,29
audi,manual,f,21,29
audi,manual,f,20,31
audi,auto,f,21,30
audi,auto,f,16,26
audi,manual,f,18,26
audi,auto,f,18,27
audi,manual,4,18,26
audi,auto,4,16,25
audi,manual,4,20,28
audi,auto,4,19,27
audi,auto,4,15,25
audi,manual,4,17,25
audi,auto,4,17,25
audi,manual,4,15,25
audi,auto,4,15,24
audi,auto,4,17,25
audi,auto,4,16,23
chevrolet,auto,r,14,20
chevrolet,auto,r,11,15
chevrolet,auto,r,14,20
chevrolet,auto,r,13,17
chevrolet,auto,r,12,17
chevrolet,manual,r,16,26
chevrolet,auto,r,15,23
chevrolet,manual,r,16,26
chevrolet,auto,r,15,25
chevrolet,manual,r,15,24
chevrolet,auto,4,14,19
chevrolet,auto,4,11,14
chevrolet,auto,4,11,15
chevrolet,auto,4,14,17
chevrolet,auto,f,19,27
chevrolet,auto,f,22,30
chevrolet,auto,f,18,26
chevrolet,auto,f,18,29
chevrolet,auto,f,17,26
dodge,auto,f,18,24
dodge,auto,f,17,24
dodge,auto,f,16,22
dodge,auto,f,16,22
dodge,auto,f,17,24
dodge,auto,f,17,24
dodge,auto,f,11,17
dodge,auto,f,15,22
dodge,auto,f,15,21
dodge,auto,f,16,23
dodge,auto,f,16,23
dodge,manual,4,15,19
dodge,auto,4,14,18
dodge,auto,4,13,17
dodge,manual,4,14,17
dodge,auto,4,14,19
dodge,auto,4,14,19
dodge,auto,4,9,12
dodge,manual,4,11,17
dodge,auto,4,11,15
dodge,auto,4,13,17
dodge,auto,4,13,17
dodge,auto,4,9,12
dodge,auto,4,13,17
dodge,auto,4,11,16
dodge,auto,4,13,18
dodge,auto,4,11,15
dodge,manual,4,12,16
dodge,auto,4,9,12
dodge,auto,4,13,17
dodge,auto,4,13,17
dodge,manual,4,12,16
dodge,manual,4,9,12
dodge,auto,4,11,15
dodge,manual,4,11,16
dodge,auto,4,13,17
dodge,auto,4,11,15
ford,auto,r,11,17
ford,auto,r,11,17
ford,auto,r,12,18
ford,auto,4,14,17
ford,manual,4,15,19
ford,auto,4,14,17
ford,auto,4,13,19
ford,auto,4,13,19
ford,auto,4,13,17
ford,auto,4,14,17
ford,manual,4,14,17
ford,manual,4,13,16
ford,auto,4,13,16
ford,auto,4,13,17
ford,auto,4,11,15
ford,auto,4,13,17
ford,manual,r,18,26
ford,auto,r,18,25
ford,manual,r,17,26
ford,auto,r,16,24
ford,auto,r,15,21
ford,manual,r,15,22
ford,manual,r,15,23
ford,auto,r,15,22
ford,manual,r,14,20
honda,manual,f,28,33
honda,auto,f,24,32
honda,manual,f,25,32
honda,manual,f,23,29
honda,auto,f,24,32
honda,manual,f,26,34
honda,auto,f,25,36
honda,auto,f,24,36
honda,manual,f,21,29
hyundai,auto,f,18,26
hyundai,manual,f,18,27
hyundai,auto,f,21,30
hyundai,manual,f,21,31
hyundai,auto,f,18,26
hyundai,manual,f,18,26
hyundai,auto,f,19,28
hyundai,auto,f,19,26
hyundai,manual,f,19,29
hyundai,manual,f,20,28
hyundai,auto,f,20,27
hyundai,auto,f,17,24
hyundai,manual,f,16,24
hyundai,manual,f,17,24
jeep,auto,4,17,22
jeep,auto,4,15,19
jeep,auto,4,15,20
jeep,auto,4,14,17
jeep,auto,4,9,12
jeep,auto,4,14,19
jeep,auto,4,13,18
jeep,auto,4,11,14
land rover,auto,4,11,15
land rover,auto,4,12,18
land rover,auto,4,12,18
land rover,auto,4,11,15
lincoln,auto,r,11,17
lincoln,auto,r,11,16
lincoln,auto,r,12,18
mercury,auto,4,14,17
mercury,auto,4,13,19
mercury,auto,4,13,19
mercury,auto,4,13,17
nissan,manual,f,21,29
nissan,auto,f,19,27
nissan,auto,f,23,31
nissan,manual,f,23,32
nissan,manual,f,19,27
nissan,auto,f,19,26
nissan,auto,f,18,26
nissan,manual,f,19,25
nissan,auto,f,19,25
nissan,auto,4,14,17
nissan,manual,4,15,17
nissan,auto,4,14,20
nissan,auto,4,12,18
pontiac,auto,f,18,26
pontiac,auto,f,16,26
pontiac,auto,f,17,27
pontiac,auto,f,18,28
pontiac,auto,f,16,25
subaru,manual,4,18,25
subaru,auto,4,18,24
subaru,manual,4,20,27
subaru,manual,4,19,25
subaru,auto,4,20,26
subaru,auto,4,18,23
subaru,auto,4,21,26
subaru,manual,4,19,26
subaru,manual,4,19,26
subaru,auto,4,19,26
subaru,auto,4,20,25
subaru,auto,4,20,27
subaru,manual,4,19,25
subaru,manual,4,20,27
toyota,manual,4,15,20
toyota,auto,4,16,20
toyota,auto,4,15,19
toyota,manual,4,15,17
toyota,auto,4,16,20
toyota,auto,4,14,17
toyota,manual,f,21,29
toyota,auto,f,21,27
toyota,manual,f,21,31
toyota,auto,f,21,31
toyota,auto,f,18,26
toyota,manual,f,18,26
toyota,auto,f,19,28
toyota,auto,f,21,27
toyota,manual,f,21,29
toyota,manual,f,21,31
toyota,auto,f,22,31
toyota,auto,f,18,26
toyota,manual,f,18,26
toyota,auto,f,18,27
toyota,auto,f,24,30
toyota,auto,f,24,33
toyota,manual,f,26,35
toyota,manual,f,28,37
toyota,auto,f,26,35
toyota,auto,4,11,15
toyota,auto,4,13,18
toyota,manual,4,15,20
toyota,auto,4,16,20
toyota,manual,4,17,22
toyota,manual,4,15,17
toyota,auto,4,15,19
toyota,manual,4,15,18
toyota,auto,4,16,20
volkswagen,manual,f,21,29
volkswagen,auto,f,19,26
volkswagen,manual,f,21,29
volkswagen,auto,f,22,29
volkswagen,manual,f,17,24
volkswagen,manual,f,33,44
volkswagen,manual,f,21,29
volkswagen,auto,f,19,26
volkswagen,auto,f,22,29
volkswagen,manual,f,21,29
volkswagen,auto,f,21,29
volkswagen,manual,f,21,29
volkswagen,auto,f,16,23
volkswagen,manual,f,17,24
volkswagen,manual,f,35,44
volkswagen,auto,f,29,41
volkswagen,manual,f,21,29
volkswagen,auto,f,19,26
volkswagen,manual,f,20,28
volkswagen,auto,f,20,29
volkswagen,manual,f,21,29
volkswagen,auto,f,18,29
volkswagen,auto,f,19,28
volkswagen,manual,f,21,29
volkswagen,auto,f,16,26
volkswagen,manual,f,18,26
volkswagen,auto,f,17,26
